Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Vodka And Tonic,12460,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Хайбол,Vodka,Tonic water,0,0,0,"Вылейте водку в бокал с высоким мячом над кубиками льда. Наполните тоническую воду, перемешайте и подайте.",2 унция ,"
"
Vodka Fizz,16967,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,Бокал для белого вина,Vodka,Half-and-half,Limeade,Ice,Nutmeg,"Смешайте все ингредиенты, сохраните мускатный орех. Вылейте в большой белый бокал и посыпьте орех.",2 унция ,2 унция 
Vodka Martini,14167,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,Коктейльный бокал,Vodka,Dry Vermouth,Olive,0,0,"Встряхните водку и вермут вместе с несколькими кубиками льда, напрягайтесь в коктейль -стакане, добавьте оливу и подайте.",1 1/2 унция ,3/4 унция 
Vodka Russian,15403,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg,Collins Glass,Vodka,Schweppes Russchian,0,0,0,Смешайте его как обычный напиток.,2 унция ,"
"
Waikiki Beachcomber,12474,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,Коктейльный бокал,Triple sec,Gin,Pineapple juice,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",3/4 унция ,3/4 унция 
Whiskey Sour,12516,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/o56h041504352725.jpg,Олд-фэшн,Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,"Встряхнуть со льдом. Процедить в охлажденное стекло, украсить и подавать. Если подавать «на скалах», напрягайте ингредиенты в старомодное стекло, наполненное льдом.",2 унция ,Juice of 1/2 
Whisky Mac,12518,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg,Collins Glass,Scotch,Wine,0,0,0,Вылейте оба ингредиента в винный кубок без льда.,1 1/2 унция ,1 унция Green Ginger 
White Lady,17194,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg,Коктейльный бокал,Gin,Triple Sec,Lemon Juice,0,0,"Добавьте все ингредиенты в коктейльный шейкер, наполненный льдом. Хорошо встряхните и напрягайтесь в большой коктейльный стакан.",4cl,3cl
White Russian,12528,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg,Олд-фэшн,Vodka,Coffee liqueur,Light cream,0,0,Вылейте водку и кофейный ликер на кубиках льда в старомодный стакан. Заполните легким сливками и подайте.,2 унция ,1 унция 
Whitecap Margarita,16158,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg,Маргарита,Ice,Tequila,Cream of coconut,Lime juice,0,Поместите все ингредиенты в блендер и смешайте до гладкого. Это делает один напиток.,1 чашка ,2 унция 
Wine Cooler,13056,Опционально алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/yutxtv1473344210.jpg,Collins Glass,Red wine,Lemon-lime soda,Ice,0,0,Смешайте вино и безалкогольный напиток. Залить в стекло. Добавить лед.,2 унция white or ,5 унция 
Wine Punch,13058,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg,Collins Glass,Red wine,Lemon,Orange juice,Orange,Pineapple juice,Объедините все ингредиенты и вылейте на блок льда.,1 бутылка ,2 
Yellow Bird,17219,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg,Коктейльный бокал,White Rum,Galliano,Triple Sec,Lime Juice,0,Встряхнуть и напрячься в охлажденный коктейльный стакан,3 сантилитр,1.5 сантилитр
Yoghurt Cooler,12728,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/trttrv1441254466.jpg,Highball Glass,Yoghurt,Fruit,Ice,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте. Примечание: используйте много льда в этом - отлично в жаркие дни! Чтобы добавить лед: снять центр крышки, в то время как блендер включен - бросьте 3 или 4 льда и смешайте, пока они не будут полностью разбиты.",1 чашка ,1 чашка 
